dt,client_id,amount
2008-04-06 11:54:47,950,161.38
2007-07-28 00:00:19,418,35.34
2008-03-14 20:43:54,131,146.5
2007-12-18 13:03:24,353,119.21
2007-11-09 05:18:30,849,105.24
2008-01-24 23:02:24,999,164.94
2007-12-24 16:28:30,938,1044.0
2007-05-07 17:46:15,568,98.39
2008-05-31 13:02:21,365,10049.1
2008-05-09 10:01:21,961,182.82
2007-05-31 15:59:25,568,118.64
2007-06-11 14:15:21,603,1054.45
2007-07-29 13:47:47,231,135.14
2007-06-02 03:46:50,639,1079.94
2007-10-20 04:49:56,900,139.2
2007-10-11 10:05:55,566,2080.54
2007-05-09 14:03:37,841,-640.77
2008-06-26 05:43:30,844,154.15
2008-05-23 10:06:59,652,1086.79
2008-05-13 02:22:21,990,10080.0
2008-06-06 20:08:14,808,10050.52
2007-07-17 12:04:57,755,10063.87
2007-12-09 00:46:16,218,10020.99
2007-06-17 12:52:20,433,2061.93
2008-02-05 12:23:59,909,168.95
2007-10-11 03:14:00,185,143.31
2008-04-17 14:53:42,833,89.95
2007-12-21 00:06:27,114,1037.78
2007-11-11 12:50:49,552,1048.93
2007-07-16 05:12:39,216,1014.33
2007-10-07 15:37:47,982,1040.58
2008-05-30 06:32:01,224,1050.16
2008-05-30 06:04:58,555,1051.85
2008-04-03 22:04:42,888,163.42
2008-01-11 15:16:37,404,55.79
2008-04-05 17:27:37,150,149.83
2008-01-01 20:23:17,747,193.33
2007-07-14 01:29:26,453,1050.49
2007-10-28 02:51:26,747,171.32
2008-05-15 10:23:25,762,1067.1
2008-03-25 02:07:43,922,2059.52
2008-04-06 14:13:01,432,-662.27
2008-04-10 21:32:37,840,1059.83
2008-01-02 07:52:34,182,-656.99
2007-10-30 23:15:38,888,124.02
2008-01-25 07:33:01,301,62.68
2008-01-16 03:27:15,533,10101.67
2008-01-23 15:20:04,341,158.88
2007-11-21 01:29:50,164,148.86
2008-04-20 22:24:11,718,2046.18
2008-05-13 02:22:21,384,146.23
2007-12-17 08:22:06,114,-657.33
2007-10-17 00:15:58,887,2082.61
2008-04-02 08:50:26,393,177.37
2007-06-20 12:13:51,249,119.63
2008-01-29 15:02:18,277,-663.88
